店舗名,町名,電話番号,業種,失敗理由,現在lat,現在lng,Googleマップ検索,補正lat,補正lng,メモ
さんく,鞘町,027-325-6288,衣類,error,36.325302,139.00563,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%82%93%E3%81%8F%20%E9%AB%98%E5%B4%8E%E5%B8%82%E9%9E%98%E7%94%BA,,,
Cafe & Bar nano,浜尻町,027-381-6466,飲食店,exception,36.352921,139.016769,https://www.google.com/maps/search/?api=1&query=Cafe%20%26%20Bar%20nano%20%E9%AB%98%E5%B4%8E%E5%B8%82%E6%B5%9C%E5%B0%BB%E7%94%BA,,,
CAFÉ&BAR あき,八島町,027-322-2579,飲食店,exception,36.32185,139.0112,https://www.google.com/maps/search/?api=1&query=CAF%C3%89%26BAR%20%E3%81%82%E3%81%8D%20%E9%AB%98%E5%B4%8E%E5%B8%82%E5%85%AB%E5%B3%B6%E7%94%BA,,,
cafe & bar ESSENCE,通町,027-324-5755,飲食店,exception,36.324619,139.009384,https://www.google.com/maps/search/?api=1&query=cafe%20%26%20bar%20ESSENCE%20%E9%AB%98%E5%B4%8E%E5%B8%82%E9%80%9A%E7%94%BA,,,
karaoke ＆ live dining JAM JUNCTION,通町,027-395-0651,飲食店,exception,36.324619,139.009384,https://www.google.com/maps/search/?api=1&query=karaoke%20%EF%BC%86%20live%20dining%20JAM%20JUNCTION%20%E9%AB%98%E5%B4%8E%E5%B8%82%E9%80%9A%E7%94%BA,,,
Craft beer bar BOCCA,通町,027-386-5260,飲食店,exception,36.324619,139.009384,https://www.google.com/maps/search/?api=1&query=Craft%20beer%20bar%20BOCCA%20%E9%AB%98%E5%B4%8E%E5%B8%82%E9%80%9A%E7%94%BA,,,
ぐんまハーブ 宮元町店,宮元町,027-315-8422,飲食店,exception,36.322605,139.005295,https://www.google.com/maps/search/?api=1&query=%E3%81%90%E3%82%93%E3%81%BE%E3%83%8F%E3%83%BC%E3%83%96%20%E5%AE%AE%E5%85%83%E7%94%BA%E5%BA%97%20%E9%AB%98%E5%B4%8E%E5%B8%82%E5%AE%AE%E5%85%83%E7%94%BA,,,
ぐんまハーブ 八千代町店,八千代町,027-333-9446,飲食店,exception,36.32378,138.993332,https://www.google.com/maps/search/?api=1&query=%E3%81%90%E3%82%93%E3%81%BE%E3%83%8F%E3%83%BC%E3%83%96%20%E5%85%AB%E5%8D%83%E4%BB%A3%E7%94%BA%E5%BA%97%20%E9%AB%98%E5%B4%8E%E5%B8%82%E5%85%AB%E5%8D%83%E4%BB%A3%E7%94%BA,,,
サンドイッチ専門店pandasan,飯塚町,027ｰ384ｰ4113,飲食店,exception,36.341881,139.006836,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%B3%E3%83%89%E3%82%A4%E3%83%83%E3%83%81%E5%B0%82%E9%96%80%E5%BA%97pandasan%20%E9%AB%98%E5%B4%8E%E5%B8%82%E9%A3%AF%E5%A1%9A%E7%94%BA,,,
Zen,八幡町,080-9538-7037,飲食店,exception,36.340927,138.945023,https://www.google.com/maps/search/?api=1&query=Zen%20%E9%AB%98%E5%B4%8E%E5%B8%82%E5%85%AB%E5%B9%A1%E7%94%BA,,,
