店舗名,町名,電話番号,取り扱い商品・サービス,大型店,lat,lng,精度,ソース
あーく,若松町,,衣類,,36.338698,139.022932,approx,geocoding.jp
earth music&ecology natural store,棟高町,027-310-9242,衣類,イオンモール,36.390392,139.006792,approx,geocoding.jp
a'me,八島町,027-327-8585,衣類,,36.323014,139.010187,approx,geocoding.jp
藍屋商店,倉渕町三ノ倉,027-378-2017,衣類,,36.423209,138.794418,approx,geocoding.jp
アウトサイドザボックス,八島町,027-393-6791,衣類,OPA,36.323451,139.011249,approx,geocoding.jp
AOKI 高崎江木町店,江木町,027-328-0388,衣類,,36.332042,139.028201,approx,geocoding.jp
AOKI 高崎本店,大八木町,027-363-2488,衣類,,36.355099,139.001007,approx,geocoding.jp
赤ちゃん本舗 高崎店,大八木町,027-363-1121,衣類,,36.355658,138.999965,approx,geocoding.jp
ａｘｅｓ ｆｅｍｍｅ,棟高町,027-310-9085,衣類,イオンモール,36.391002,139.006501,approx,geocoding.jp
AZUL by moussy,棟高町,027-373-4851,衣類,イオンモール,36.391209,139.006154,approx,geocoding.jp
アバンティ,中紺屋町,027-324-9122,衣類,,36.326868,139.005574,approx,geocoding.jp
アベイル 菅谷FM店,菅谷町,027-360-6070,衣類,,36.380709,139.017551,approx,geocoding.jp
AMERICAN HOLIC,棟高町,027-310-9442,衣類,イオンモール,36.390215,139.006581,approx,geocoding.jp
AMOS STYLE by Triumph,棟高町,027-310-9033,衣類,イオンモール,36.356921,139.009272,approx,geocoding.jp
アモール・セレクション,連雀町,027-386-8559,衣類,,36.324614,139.008226,approx,geocoding.jp
アモスタイル,八島町,027-325-7710,衣類,モントレー,36.356921,139.009272,approx,geocoding.jp
アルディヴァーグ,連雀町,027-386-9200,衣類,,36.324135,139.006813,approx,geocoding.jp
YECCA VECCA,棟高町,027-310-9280,衣類,イオンモール,36.390758,139.00656,approx,geocoding.jp
いつ和,八島町,027-388-0154,衣類,モントレー,36.322238,139.011994,approx,geocoding.jp
ＩＮＧＮＩ,棟高町,027-310-9658,衣類,イオンモール,36.39078,139.006616,approx,geocoding.jp
Vin,棟高町,027-310-9019,衣類,イオンモール,36.390681,139.006609,approx,geocoding.jp
ＷＥＧＯ,八島町,027-355-6140,衣類,OPA,36.323081,139.011073,approx,geocoding.jp
WEGO,棟高町,027-310-0220,衣類,イオンモール,36.391223,139.007517,approx,geocoding.jp
Agzz.Inc,乗附町,090-2730-0923,衣類,,36.32098,138.98484,approx,geocoding.jp
ST カンパニー,八島町,027-320-8534,衣類,OPA,36.322807,139.011515,approx,geocoding.jp
F＆Fショップ たけうま,山名町,027-346-4904,衣類,,36.277841,139.038354,approx,geocoding.jp
F.O.Store,棟高町,027-310-9165,衣類,イオンモール,36.389963,139.007043,approx,geocoding.jp
ＭＷＴガレージ,八島町,080-7035-6147,衣類,OPA,36.362715,139.067987,approx,geocoding.jp
エメフィール,八島町,027-329-6598,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
Oval,中居町,027-350-8655,衣類,,36.312716,139.045229,approx,geocoding.jp
おしゃれ工房,八島町,027-386-5159,衣類,モントレー,36.322899,139.01152,exact,geocoding.jp
オズモーシス,八島町,027-388-0769,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
OPAQUE.CLIP,棟高町,027-310-9018,衣類,イオンモール,36.390399,139.006759,approx,geocoding.jp
Gardenbyｏｎｅｗａｙ,棟高町,027-310-9112,衣類,イオンモール,36.390445,139.006803,approx,geocoding.jp
金古屋,北通町,027-323-6707,衣類,,36.328341,139.008404,approx,geocoding.jp
柄のうえ新,鞘町,027-322-2248,衣類,,36.325946,139.005963,approx,geocoding.jp
韓国子供服TAP．,矢中町,,衣類,,36.313499,139.048097,approx,geocoding.jp
きもの 遊粋和楽,問屋町,027-361-3315,衣類,,36.347795,139.008316,approx,geocoding.jp
きものやまと,棟高町,027-310-9660,衣類,イオンモール,36.389972,139.007037,approx,geocoding.jp
GAP／GAP KIDS,棟高町,027-310-9633,衣類,イオンモール,36.391214,139.006466,approx,geocoding.jp
京林 高崎本店 染工房,新保町,027-352-4567,衣類,,36.344337,139.036788,approx,geocoding.jp
靴下屋Life&Feel,棟高町,027-310-9128,衣類,イオンモール,36.390613,139.006306,approx,geocoding.jp
Green Parks topic,棟高町,027-310-9180,衣類,イオンモール,36.390284,139.006549,approx,geocoding.jp
CLOSET,檜物町,027-328-5826,衣類,,36.323299,139.005867,approx,geocoding.jp
GLOBAL WORK,棟高町,027-310-9132,衣類,イオンモール,36.390822,139.006179,approx,geocoding.jp
ゴージビー,八島町,027-384-4676,衣類,OPA,36.323067,139.011095,approx,geocoding.jp
go slow caravan,棟高町,027-310-9380,衣類,イオンモール,36.3911,139.00642,approx,geocoding.jp
