店舗名,町名,電話番号,取り扱い商品・サービス,大型店,lat,lng,精度,ソース
あーく,若松町,,衣類,,36.318119,139.004517,town,gsi
earth music&ecology natural store,棟高町,027-310-9242,衣類,イオンモール,36.385422,139.006836,town,gsi
a'me,八島町,027-327-8585,衣類,,36.32185,139.0112,town,gsi
藍屋商店,倉渕町三ノ倉,027-378-2017,衣類,,36.420166,138.808609,town,gsi
アウトサイドザボックス,八島町,027-393-6791,衣類,OPA,36.32185,139.0112,town,gsi
AOKI 高崎江木町店,江木町,027-328-0388,衣類,,36.331066,139.020416,town,gsi
AOKI 高崎本店,大八木町,027-363-2488,衣類,,36.36134,138.999573,town,gsi
赤ちゃん本舗 高崎店,大八木町,027-363-1121,衣類,,36.36134,138.999573,town,gsi
ａｘｅｓ ｆｅｍｍｅ,棟高町,027-310-9085,衣類,イオンモール,36.385422,139.006836,town,gsi
AZUL by moussy,棟高町,027-373-4851,衣類,イオンモール,36.385422,139.006836,town,gsi
アバンティ,中紺屋町,027-324-9122,衣類,,36.326836,139.005142,town,gsi
アベイル 菅谷FM店,菅谷町,027-360-6070,衣類,,36.378056,139.015472,town,gsi
AMERICAN HOLIC,棟高町,027-310-9442,衣類,イオンモール,36.385422,139.006836,town,gsi
AMOS STYLE by Triumph,棟高町,027-310-9033,衣類,イオンモール,36.385422,139.006836,town,gsi
アモール・セレクション,連雀町,027-386-8559,衣類,,36.324718,139.007156,town,gsi
アモスタイル,八島町,027-325-7710,衣類,モントレー,36.32185,139.0112,town,gsi
アルディヴァーグ,連雀町,027-386-9200,衣類,,36.324718,139.007156,town,gsi
YECCA VECCA,棟高町,027-310-9280,衣類,イオンモール,36.385422,139.006836,town,gsi
いつ和,八島町,027-388-0154,衣類,モントレー,36.32185,139.0112,town,gsi
ＩＮＧＮＩ,棟高町,027-310-9658,衣類,イオンモール,36.385422,139.006836,town,gsi
Vin,棟高町,027-310-9019,衣類,イオンモール,36.385422,139.006836,town,gsi
ＷＥＧＯ,八島町,027-355-6140,衣類,OPA,36.32185,139.0112,town,gsi
WEGO,棟高町,027-310-0220,衣類,イオンモール,36.385422,139.006836,town,gsi
Agzz.Inc,乗附町,090-2730-0923,衣類,,36.318325,138.970718,town,gsi
ST カンパニー,八島町,027-320-8534,衣類,OPA,36.32185,139.0112,town,gsi
F＆Fショップ たけうま,山名町,027-346-4904,衣類,,36.279461,139.029343,town,gsi
F.O.Store,棟高町,027-310-9165,衣類,イオンモール,36.385422,139.006836,town,gsi
ＭＷＴガレージ,八島町,080-7035-6147,衣類,OPA,36.32185,139.0112,town,gsi
エメフィール,八島町,027-329-6598,衣類,OPA,36.32185,139.0112,town,gsi
Oval,中居町,027-350-8655,衣類,,36.320415,139.037994,town,gsi
おしゃれ工房,八島町,027-386-5159,衣類,モントレー,36.32185,139.0112,town,gsi
オズモーシス,八島町,027-388-0769,衣類,OPA,36.32185,139.0112,town,gsi
OPAQUE.CLIP,棟高町,027-310-9018,衣類,イオンモール,36.385422,139.006836,town,gsi
Gardenbyｏｎｅｗａｙ,棟高町,027-310-9112,衣類,イオンモール,36.385422,139.006836,town,gsi
金古屋,北通町,027-323-6707,衣類,,36.32822,139.008347,town,gsi
柄のうえ新,鞘町,027-322-2248,衣類,,36.325302,139.00563,town,gsi
韓国子供服TAP．,矢中町,,衣類,,36.310818,139.050934,town,gsi
きもの 遊粋和楽,問屋町,027-361-3315,衣類,,36.348717,139.008499,town,gsi
きものやまと,棟高町,027-310-9660,衣類,イオンモール,36.385422,139.006836,town,gsi
GAP／GAP KIDS,棟高町,027-310-9633,衣類,イオンモール,36.385422,139.006836,town,gsi
京林 高崎本店 染工房,新保町,027-352-4567,衣類,,36.3479,139.040588,town,gsi
靴下屋Life&Feel,棟高町,027-310-9128,衣類,イオンモール,36.385422,139.006836,town,gsi
Green Parks topic,棟高町,027-310-9180,衣類,イオンモール,36.385422,139.006836,town,gsi
CLOSET,檜物町,027-328-5826,衣類,,36.322926,139.006454,town,gsi
GLOBAL WORK,棟高町,027-310-9132,衣類,イオンモール,36.385422,139.006836,town,gsi
ゴージビー,八島町,027-384-4676,衣類,OPA,36.32185,139.0112,town,gsi
go slow caravan,棟高町,027-310-9380,衣類,イオンモール,36.385422,139.006836,town,gsi
ゴールドミンクス,八島町,090-8117-6701,衣類,OPA,36.32185,139.0112,town,gsi
ゴールドミンクスセカンド ジェイダ,八島町,070-1440-7465,衣類,OPA,36.32185,139.0112,town,gsi
coca (4/24 OPEN),八島町,,衣類,OPA,36.32185,139.0112,town,gsi
コナカ 高崎上中居店,上中居町,027-328-6575,衣類,,36.31897,139.030075,town,gsi
COMME CA STYLE,棟高町,027-310-9645,衣類,イオンモール,36.385422,139.006836,town,gsi
SAVAGE CLUB,八島町,0123-88-0003,衣類,OPA,36.32185,139.0112,town,gsi
SM2 keittio,棟高町,027-386-3154,衣類,イオンモール,36.385422,139.006836,town,gsi
ZARA,棟高町,0120-257-100,衣類,イオンモール,36.385422,139.006836,town,gsi
サンキ 高崎箕郷店,箕郷町上芝,027-371-1033,衣類,,36.386776,138.959167,town,gsi
サンキ 高崎倉賀野店,倉賀野町,027-347-6031,衣類,,36.298168,139.057709,town,gsi
さんく,鞘町,027-325-6288,衣類,,36.325302,139.00563,town,gsi
ジーナシス,八島町,027-386-3288,衣類,OPA,36.32185,139.0112,town,gsi
ジーユー,八島町,050-3116-8206,衣類,OPA,36.32185,139.0112,town,gsi
GU,棟高町,050-3116-8218,衣類,イオンモール,36.385422,139.006836,town,gsi
ジーユー 高崎問屋町店,問屋町,027-370-4800,衣類,,36.348717,139.008499,town,gsi
ジェラートピケ,八島町,027-387-0434,衣類,OPA,36.32185,139.0112,town,gsi
JACKROSE,棟高町,027-386-2080,衣類,イオンモール,36.385422,139.006836,town,gsi
ＳＵＲＥＳＨＯＴ,真町,027-384-6375,衣類,,36.327065,139.009644,town,gsi
ジョイフル恵利,八島町,0120-617-155,衣類,OPA,36.32185,139.0112,town,gsi
ジョルジュ サンク,通町,027-326-5481,衣類,,36.324619,139.009384,town,gsi
スーツセレクト,八島町,027-310-1280,衣類,モントレー,36.32185,139.0112,town,gsi
studio CLIP,棟高町,027-310-9015,衣類,イオンモール,36.385422,139.006836,town,gsi
